,simu_time,car_num,x_position,y_position,length(m),speed(m/s),LateralSpeed(m/s),accelaration(m^2/s),angel(du),roadID,LaneID,Lane_index,lane_position
0,0.0,xiaokeche_0_.0,-193.04,-4.8,4.0,0.0,0.0,0.0,90.0,z1,z1_2,2.0,4.1
1,0.0,xiaokeche_11_.0,8.0,-145.9,4.0,0.0,0.0,0.0,0.0,x1,x1_1,1.0,4.1
2,0.0,xiaokeche_1_.0,-193.04,-8.0,4.0,0.0,0.0,0.0,90.0,z1,z1_1,1.0,4.1
3,0.0,xiaokeche_2_.0,-193.04,-1.6,4.0,0.0,0.0,0.0,90.0,z1,z1_3,3.0,4.1
4,0.0,xiaokeche_3_.0,145.9,1.6,4.0,0.0,0.0,0.0,270.0,y1,y1_3,3.0,4.1
5,0.0,xiaokeche_5_.0,145.9,4.8,4.0,0.0,0.0,0.0,270.0,y1,y1_2,2.0,4.1
6,0.0,xiaokeche_6_.0,-11.2,145.9,4.0,0.0,0.0,0.0,180.0,s1,s1_0,0.0,4.1
7,0.0,xiaokeche_7_.0,-4.8,145.9,4.0,0.0,0.0,0.0,180.0,s1,s1_2,2.0,4.1
8,0.0,xiaokeche_8_.0,-8.0,145.9,4.0,0.0,0.0,0.0,180.0,s1,s1_1,1.0,4.1
9,0.0,xiaokeche_9_.0,1.6,-145.9,4.0,0.0,0.0,0.0,0.0,x1,x1_3,3.0,4.1
10,1.0,xiaokeche_0_.0,-190.79196888968346,-4.8,4.0,2.248031110316515,0.0,2.248031110316515,90.0,z1,z1_2,2.0,6.348031110316515
11,1.0,xiaokeche_11_.0,8.0,-144.11075666977558,4.0,1.789243330224417,0.0,1.789243330224417,0.0,x1,x1_1,1.0,5.889243330224417
12,1.0,xiaokeche_1_.0,-191.28594938030932,-8.0,4.0,1.754050619690679,0.0,1.754050619690679,90.0,z1,z1_1,1.0,5.854050619690678
13,1.0,xiaokeche_2_.0,-191.59831133029422,-1.6,4.0,1.4416886697057636,0.0,1.4416886697057636,90.0,z1,z1_3,3.0,5.5416886697057635
14,1.0,xiaokeche_3_.0,144.00829678701703,1.6,4.0,1.891703212982975,0.0,1.891703212982975,270.0,y1,y1_3,3.0,5.991703212982975
15,1.0,xiaokeche_4_.0,145.9,8.0,4.0,0.0,0.0,0.0,270.0,y1,y1_1,1.0,4.1
16,1.0,xiaokeche_5_.0,143.80247066731098,4.8,4.0,2.0975293326890094,0.0,2.0975293326890094,270.0,y1,y1_2,2.0,6.197529332689009
17,1.0,xiaokeche_6_.0,-11.2,144.35739006993828,4.0,1.5426099300617353,0.0,1.5426099300617353,180.0,s1,s1_0,0.0,5.6426099300617345
18,1.0,xiaokeche_7_.0,-4.8,144.3203312849393,4.0,1.5796687150606885,0.0,1.5796687150606885,180.0,s1,s1_2,2.0,5.679668715060688
19,1.0,xiaokeche_8_.0,-8.0,143.65225826341194,4.0,2.2477417365880683,0.0,2.2477417365880683,180.0,s1,s1_1,1.0,6.347741736588068
20,1.0,xiaokeche_9_.0,1.6,-144.18587390924804,4.0,1.7141260907519609,0.0,1.7141260907519609,0.0,x1,x1_3,3.0,5.8141260907519605
21,2.0,xiaokeche_0_.0,-186.0681063872855,-4.8,4.0,4.72386250239797,0.0,2.4758313920814548,90.0,z1,z1_2,2.0,11.071893612714485
22,2.0,xiaokeche_11_.0,8.0,-140.21516011385248,4.0,3.895596555923112,0.0,2.1063532256986948,0.0,x1,x1_1,1.0,9.784839886147529
23,2.0,xiaokeche_1_.0,-187.316083196816,-8.0,4.0,3.9698661834932865,0.0,2.2158155638026074,90.0,z1,z1_1,1.0,9.823916803183964
24,2.0,xiaokeche_2_.0,-188.48286403378935,-1.6,4.0,3.1154472965048625,0.0,1.673758626799099,90.0,z1,z1_3,3.0,8.657135966210626
25,2.0,xiaokeche_3_.0,139.7764953573933,1.6,4.0,4.231801429623737,0.0,2.3400982166407625,270.0,y1,y1_3,3.0,10.223504642606713
26,2.0,xiaokeche_4_.0,144.23403954296373,8.0,4.0,1.6659604570362716,0.0,1.6659604570362716,270.0,y1,y1_1,1.0,5.765960457036272
27,2.0,xiaokeche_5_.0,140.09079291315282,4.8,4.0,3.7116777541581545,0.0,1.614148421469145,270.0,y1,y1_2,2.0,9.909207086847164
28,2.0,xiaokeche_6_.0,-11.2,144.35739006993828,4.0,0.0,0.0,-1.5426099300617353,180.0,s1,s1_0,0.0,5.6426099300617345
29,2.0,xiaokeche_7_.0,-4.8,140.3641980773071,4.0,3.9561332076322286,0.0,2.3764644925715404,180.0,s1,s1_2,2.0,9.635801922692917
30,2.0,xiaokeche_8_.0,-8.0,139.17320183048724,4.0,4.479056432924699,0.0,2.2313146963366304,180.0,s1,s1_1,1.0,10.826798169512767
31,2.0,xiaokeche_9_.0,1.6,-139.9495828008512,4.0,4.236291108396835,0.0,2.522165017644874,0.0,x1,x1_3,3.0,10.050417199148796
32,3.0,xiaokeche_0_.0,-180.00869758134706,-4.8,4.0,6.059408805938439,0.0,1.335546303540469,90.0,z1,z1_2,2.0,17.131302418652922
33,3.0,xiaokeche_10_.0,1.6,-145.9,4.0,0.0,0.0,0.0,0.0,x1,x1_3,3.0,4.1
34,3.0,xiaokeche_11_.0,8.0,-134.89389963534194,4.0,5.3212604785105215,0.0,1.4256639225874097,0.0,x1,x1_1,1.0,15.106100364658051
35,3.0,xiaokeche_1_.0,-181.6657015933981,-8.0,4.0,5.650381603417919,0.0,1.6805154199246322,90.0,z1,z1_1,1.0,15.474298406601882
36,3.0,xiaokeche_2_.0,-182.8265399849368,-1.6,4.0,5.656324048852548,0.0,2.540876752347686,90.0,z1,z1_3,3.0,14.313460015063175
37,3.0,xiaokeche_3_.0,133.58190975406904,4.8,4.0,6.194585603324231,0.0,1.9627841737004932,270.0,y1,y1_2,2.0,16.418090245930944
38,3.0,xiaokeche_4_.0,140.67863375162705,8.0,4.0,3.5554057913366703,0.0,1.8894453343003987,270.0,y1,y1_1,1.0,9.321366248372943
39,3.0,xiaokeche_5_.0,140.09079291315282,4.8,4.0,0.0,0.0,-3.7116777541581545,270.0,y1,y1_2,2.0,9.909207086847164
40,3.0,xiaokeche_6_.0,-11.2,144.35739006993828,4.0,0.0,0.0,0.0,180.0,s1,s1_0,0.0,5.6426099300617345
41,3.0,xiaokeche_7_.0,-4.8,134.79612375332508,4.0,5.5680743239820005,0.0,1.6119411163497719,180.0,s1,s1_2,2.0,15.203876246674916
42,3.0,xiaokeche_8_.0,-8.0,132.41871508233015,4.0,6.754486748157069,0.0,2.27543031523237,180.0,s1,s1_1,1.0,17.581284917669834
43,3.0,xiaokeche_9_.0,4.8,-133.6891921803355,4.0,6.260390620515682,0.0,2.0240995121188465,0.0,x1,x1_2,2.0,16.31080781966448
44,4.0,xiaokeche_0_.0,-171.93795062582706,-1.6,4.0,8.070746955520008,0.0,2.0113381495815688,90.0,z1,z1_3,3.0,25.20204937417293
45,4.0,xiaokeche_10_.0,1.6,-144.59751482782886,4.0,1.3024851721711457,0.0,1.3024851721711457,0.0,x1,x1_3,3.0,5.402485172171145
46,4.0,xiaokeche_11_.0,8.0,-127.27264585904777,4.0,7.62125377629418,0.0,2.299993297783659,0.0,x1,x1_1,1.0,22.72735414095223
47,4.0,xiaokeche_1_.0,-173.9577989755757,-8.0,4.0,7.707902617822402,0.0,2.0575210144044833,90.0,z1,z1_1,1.0,23.182201024424284
48,4.0,xiaokeche_2_.0,-179.1146603805287,-4.8,4.0,3.7118796044081037,0.0,-1.9444444444444446,90.0,z1,z1_2,2.0,18.02533961947128
49,4.0,xiaokeche_3_.0,125.1237922902219,8.0,4.0,8.458117463847158,0.0,2.263531860522927,270.0,y1,y1_1,1.0,24.8762077097781
50,4.0,xiaokeche_4_.0,135.26955138891935,8.0,4.0,5.4090823627077045,0.0,1.8536765713710341,270.0,y1,y1_1,1.0,14.730448611080647
51,4.0,xiaokeche_5_.0,138.89438056419104,4.8,4.0,1.1964123489617844,0.0,1.1964123489617844,270.0,y1,y1_2,2.0,11.105619435808949
52,4.0,xiaokeche_6_.0,-8.0,142.79259032418486,4.0,1.5647997457534075,0.0,1.5647997457534075,180.0,s1,s1_1,1.0,7.207409675815142
53,4.0,xiaokeche_7_.0,-8.0,131.17249387378752,4.0,3.623629879537556,0.0,-1.9444444444444446,180.0,s1,s1_1,1.0,18.827506126212473
54,4.0,xiaokeche_8_.0,-8.0,123.06943981385558,4.0,9.349275268474592,0.0,2.5947885203175236,180.0,s1,s1_1,1.0,26.930560186144426
55,4.0,xiaokeche_9_.0,4.8,-126.11133230042178,4.0,7.57785987991374,0.0,1.3174692593980586,0.0,x1,x1_2,2.0,23.88866769957822
56,5.0,xiaokeche_0_.0,-162.03414490512571,-1.6,4.0,9.903805720701348,0.0,1.83305876518134,90.0,z1,z1_3,3.0,35.10585509487428
57,5.0,xiaokeche_10_.0,1.6,-141.6988064641133,4.0,2.898708363715559,0.0,1.5962231915444134,0.0,x1,x1_3,3.0,8.301193535886704
58,5.0,xiaokeche_11_.0,11.2,-118.20665299717803,4.0,9.065992861869745,0.0,1.4447390855755646,0.0,x1,x1_0,0.0,31.793347002821974
59,5.0,xiaokeche_1_.0,-164.46017689368222,-8.0,4.0,9.497622081893496,0.0,1.7897194640710943,90.0,z1,z1_1,1.0,32.679823106317784
60,5.0,xiaokeche_2_.0,-175.93698739505837,-4.8,4.0,3.1776729854703354,0.0,-0.5342066189377683,90.0,z1,z1_2,2.0,21.203012604941613
61,5.0,xiaokeche_3_.0,115.19502030800795,11.2,4.0,9.928771982213949,0.0,1.470654518366791,270.0,y1,y1_0,0.0,34.804979691992045
62,5.0,xiaokeche_4_.0,129.33542929014027,8.0,4.0,5.934122098779074,0.0,0.5250397360713697,270.0,y1,y1_1,1.0,20.66457070985972
63,5.0,xiaokeche_5_.0,135.20465407754693,4.8,4.0,3.689726486644103,0.0,2.4933141376823187,270.0,y1,y1_2,2.0,14.795345922453052
64,5.0,xiaokeche_6_.0,-4.8,139.8256218325114,4.0,2.9669684916734695,0.0,1.402168745920062,180.0,s1,s1_2,2.0,10.174378167488612
65,5.0,xiaokeche_7_.0,-8.0,126.72354649369649,4.0,4.448947380091034,0.0,0.8253175005534779,180.0,s1,s1_1,1.0,23.276453506303508
66,5.0,xiaokeche_8_.0,-8.0,112.17019032136305,4.0,10.899249492492524,0.0,1.549974224017932,180.0,s1,s1_1,1.0,37.82980967863695
67,5.0,xiaokeche_9_.0,4.8,-116.65193750297185,4.0,9.459394797449932,0.0,1.8815349175361913,0.0,x1,x1_2,2.0,33.34806249702815
68,6.0,xiaokeche_0_.0,-149.58703456900315,-1.6,4.0,12.447110336122568,0.0,2.5433046154212207,90.0,z1,z1_3,3.0,47.55296543099685
69,6.0,xiaokeche_10_.0,1.6,-137.46713507603855,4.0,4.231671388074756,0.0,1.3329630243591968,0.0,x1,x1_3,3.0,12.532864923961458
70,6.0,xiaokeche_11_.0,11.2,-106.58636924549937,4.0,11.620283751678652,0.0,2.5542908898089074,0.0,x1,x1_0,0.0,43.41363075450063
71,6.0,xiaokeche_1_.0,-153.49716266417875,-8.0,4.0,10.96301422950346,0.0,1.465392147609963,90.0,z1,z1_1,1.0,43.64283733582124
72,6.0,xiaokeche_2_.0,-171.3940248320955,-4.8,4.0,4.542962562962848,0.0,1.3652895774925127,90.0,z1,z1_2,2.0,25.74597516790446
73,6.0,xiaokeche_3_.0,102.6847971264273,11.2,4.0,12.51022318158066,0.0,2.581451199366711,270.0,y1,y1_0,0.0,47.3152028735727
74,6.0,xiaokeche_4_.0,121.4993774527791,8.0,4.0,7.836051837361186,0.0,1.901929738582112,270.0,y1,y1_1,1.0,28.500622547220907
75,6.0,xiaokeche_5_.0,130.08783349276888,1.6,4.0,5.116820584778069,0.0,1.4270940981339661,270.0,y1,y1_3,3.0,19.91216650723112
76,6.0,xiaokeche_6_.0,-4.8,136.51320106583196,4.0,3.312420766679422,0.0,0.34545227500595255,180.0,s1,s1_2,2.0,13.486798934168034
77,6.0,xiaokeche_7_.0,-8.0,120.11865043217458,4.0,6.604896061521925,0.0,2.1559486814308917,180.0,s1,s1_1,1.0,29.88134956782543
78,6.0,xiaokeche_8_.0,-8.0,99.18765125941567,4.0,12.982539061947373,0.0,2.0832895694548483,180.0,s1,s1_1,1.0,50.81234874058432
79,6.0,xiaokeche_9_.0,4.8,-105.16887047563213,4.0,11.483067027339711,0.0,2.0236722298897796,0.0,x1,x1_2,2.0,44.83112952436787
80,7.0,xiaokeche_0_.0,-136.24672562654087,-1.6,4.0,13.340308942462258,0.0,0.8931986063396895,90.0,z1,z1_3,3.0,60.89327437345911
81,7.0,xiaokeche_10_.0,1.6,-131.65068950713612,4.0,5.816445568902418,0.0,1.5847741808276625,0.0,x1,x1_3,3.0,18.34931049286388
82,7.0,xiaokeche_11_.0,11.2,-92.58818710080392,4.0,13.998182144695447,0.0,2.3778983930167943,0.0,x1,x1_0,0.0,57.41181289919608
83,7.0,xiaokeche_1_.0,-140.8602789394784,-8.0,4.0,12.636883724700322,0.0,1.673869495196863,90.0,z1,z1_1,1.0,56.27972106052157
84,7.0,xiaokeche_2_.0,-164.61705465223275,-8.0,4.0,6.776970179862756,0.0,2.234007616899908,90.0,z1,z1_1,1.0,32.52294534776722
85,7.0,xiaokeche_3_.0,88.29080154468379,11.2,4.0,14.393995581743507,0.0,1.8837724001628473,270.0,y1,y1_0,0.0,61.70919845531621
86,7.0,xiaokeche_4_.0,111.0700867519991,8.0,4.0,10.429290700779996,0.0,2.5932388634188097,270.0,y1,y1_1,1.0,38.9299132480009
87,7.0,xiaokeche_5_.0,123.58002881706096,1.6,4.0,6.507804675707921,0.0,1.3909840909298516,270.0,y1,y1_3,3.0,26.41997118293904
88,7.0,xiaokeche_6_.0,-1.6,131.05552346968122,4.0,5.4576775961507495,0.0,2.1452568294713275,180.0,s1,s1_3,3.0,18.944476530318784
89,7.0,xiaokeche_7_.0,-11.2,112.20125278717143,4.0,7.917397645003133,0.0,1.3125015834812075,180.0,s1,s1_0,0.0,37.798747212828566
90,7.0,xiaokeche_8_.0,-8.0,86.69328789993587,4.0,12.494363359479811,0.0,-0.4881757024675615,180.0,s1,s1_1,1.0,63.30671210006413
