,simu_time,car_num,x_position,y_position,length(m),speed(m/s),LateralSpeed(m/s),accelaration(m^2/s),angel(du),roadID,LaneID,Lane_index,lane_position
0,0.0,xiaokeche_mainlane0_.0,-95.9,-19.38,4.0,0.0,0.0,0.0,90.0,main0,main0_0,0.0,4.1
1,0.0,xiaokeche_mainlane1_.0,-95.9,-15.62,4.0,0.0,0.0,0.0,90.0,main0,main0_1,1.0,4.1
2,0.0,xiaokeche_mainlane2_.0,-95.9,-11.88,4.0,0.0,0.0,0.0,90.0,main0,main0_2,2.0,4.1
3,0.0,xiaokeche_mainlane3_.0,-95.9,-8.25,4.0,0.0,0.0,0.0,90.0,main0,main0_3,3.0,4.1
4,0.0,xiaokeche_mainlane4_.0,-95.9,-4.75,4.0,0.0,0.0,0.0,90.0,main0,main0_4,4.0,4.1
5,1.0,xiaokeche_mainlane0_.0,-93.87977570570074,-19.38,4.0,2.02022429429926,0.0,2.02022429429926,90.0,main0,main0_0,0.0,6.120224294299259
6,1.0,xiaokeche_mainlane1_.0,-93.40725051790942,-15.62,4.0,2.492749482090585,0.0,2.492749482090585,90.0,main0,main0_1,1.0,6.592749482090585
7,1.0,xiaokeche_mainlane2_.0,-93.78019585518632,-11.88,4.0,2.119804144813679,0.0,2.119804144813679,90.0,main0,main0_2,2.0,6.219804144813679
8,1.0,xiaokeche_mainlane3_.0,-93.39255895894021,-8.25,4.0,2.507441041059792,0.0,2.507441041059792,90.0,main0,main0_3,3.0,6.607441041059792
9,1.0,xiaokeche_mainlane4_.0,-93.91274429210462,-4.75,4.0,1.9872557078953834,0.0,1.9872557078953834,90.0,main0,main0_4,4.0,6.087255707895383
10,2.0,xiaokeche_mainlane0_.0,-90.02661115597002,-19.38,4.0,3.8531645497307183,0.0,1.8329402554314584,90.0,main0,main0_0,0.0,9.973388844029976
11,2.0,xiaokeche_mainlane1_.0,-89.05131683917716,-15.62,4.0,4.355933678732255,0.0,1.8631841966416696,90.0,main0,main0_1,1.0,10.948683160822839
12,2.0,xiaokeche_mainlane2_.0,-89.22859218930826,-11.88,4.0,4.551603665878065,0.0,2.4317995210643857,90.0,main0,main0_2,2.0,10.771407810691745
13,2.0,xiaokeche_mainlane3_.0,-88.73355147961993,-8.25,4.0,4.65900747932028,0.0,2.151566438260488,90.0,main0,main0_3,3.0,11.266448520380072
14,2.0,xiaokeche_mainlane4_.0,-90.43202467451337,-4.75,4.0,3.48071961759124,0.0,1.4934639096958566,90.0,main0,main0_4,4.0,9.567975325486623
15,3.0,xiaokeche_mainlane0_.0,-83.8338590259198,-19.38,4.0,6.192752130050213,0.0,2.3395875803194945,90.0,main0,main0_0,0.0,16.16614097408019
16,3.0,xiaokeche_mainlane0_.1,-95.9,-19.38,4.0,0.0,0.0,0.0,90.0,main0,main0_0,0.0,4.1
17,3.0,xiaokeche_mainlane1_.0,-82.14647923773154,-15.62,4.0,6.904837601445616,0.0,2.548903922713361,90.0,main0,main0_1,1.0,17.853520762268452
18,3.0,xiaokeche_mainlane1_.1,-95.9,-15.62,4.0,0.0,0.0,0.0,90.0,main0,main0_1,1.0,4.1
19,3.0,xiaokeche_mainlane2_.0,-82.85085207123775,-11.88,4.0,6.377740118070506,0.0,1.8261364521924408,90.0,main0,main0_2,2.0,17.14914792876225
20,3.0,xiaokeche_mainlane2_.1,-95.9,-11.88,4.0,0.0,0.0,0.0,90.0,main0,main0_2,2.0,4.1
21,3.0,xiaokeche_mainlane3_.0,-82.6977309894748,-8.25,4.0,6.035820490145124,0.0,1.3768130108248435,90.0,main0,main0_3,3.0,17.302269010525194
22,3.0,xiaokeche_mainlane3_.1,-95.9,-8.25,4.0,0.0,0.0,0.0,90.0,main0,main0_3,3.0,4.1
23,3.0,xiaokeche_mainlane4_.0,-84.94169113619719,-4.75,4.0,5.490333538316191,0.0,2.0096139207249513,90.0,main0,main0_4,4.0,15.058308863802814
24,3.0,xiaokeche_mainlane4_.1,-95.9,-4.75,4.0,0.0,0.0,0.0,90.0,main0,main0_4,4.0,4.1
25,4.0,xiaokeche_mainlane0_.0,-75.12313837676774,-19.38,4.0,8.710720649152064,0.0,2.517968519101851,90.0,main0,main0_0,0.0,24.87686162323225
26,4.0,xiaokeche_mainlane0_.1,-94.21470840212423,-19.38,4.0,1.6852915978757665,0.0,1.6852915978757665,90.0,main0,main0_0,0.0,5.785291597875766
27,4.0,xiaokeche_mainlane1_.0,-73.02828906639479,-15.62,4.0,9.118190171336755,0.0,2.213352569891139,90.0,main0,main0_1,1.0,26.97171093360521
28,4.0,xiaokeche_mainlane1_.1,-93.46460397567134,-15.62,4.0,2.4353960243286568,0.0,2.4353960243286568,90.0,main0,main0_1,1.0,6.535396024328657
29,4.0,xiaokeche_mainlane2_.0,-74.36292340466753,-11.88,4.0,8.487928666570223,0.0,2.1101885484997176,90.0,main0,main0_2,2.0,25.637076595332474
30,4.0,xiaokeche_mainlane2_.1,-93.42894324341323,-11.88,4.0,2.471056756586768,0.0,2.471056756586768,90.0,main0,main0_2,2.0,6.571056756586767
